Z=0.020000,Y=0.270,000 OS=0,.20 l/Hp,1.7432,01 [Fe/,H]= 0.0,46320 [,Alpha/F,e]= 0.00,,
M/Msun,logT,logL/Ls,logg,Mv,U-B,B-V,V-R,V-I,#(x=-1),#(x=1.35),#(x=3)
age(Gyr)=,0.001  3,5 points,,,,,,,,,
0.9346182,3.6271,1.7783,2.0907,0.916,1.217,1.223,0.635,1.211,1.42E-01,7.23E-02,3.97E-02
0.9347036,3.6231,1.8406,2.0124,0.801,1.271,1.249,0.649,1.241,1.61E-01,8.22E-02,4.52E-02
0.9347791,3.6191,1.9025,1.9345,0.689,1.329,1.275,0.665,1.273,1.42E-01,7.27E-02,3.99E-02
0.9348459,3.6151,1.9647,1.8564,0.578,1.39,1.302,0.681,1.308,1.25E-01,6.39E-02,3.51E-02
0.9349042,3.6109,2.0257,1.7786,0.476,1.456,1.331,0.699,1.347,1.11E-01,5.64E-02,3.10E-02
0.9349564,3.6066,2.0863,1.7008,0.379,1.525,1.361,0.719,1.391,9.87E-02,5.04E-02,2.77E-02
0.9350029,3.6023,2.1463,1.6236,0.286,1.595,1.392,0.739,1.436,8.76E-02,4.47E-02,2.46E-02
0.935044,3.598,2.2062,1.5466,0.196,1.666,1.424,0.76,1.486,7.84E-02,4.00E-02,2.20E-02
0.9350813,3.5936,2.2656,1.4696,0.114,1.74,1.458,0.783,1.541,7.04E-02,3.59E-02,1.97E-02
0.9351144,3.5891,2.3244,1.3928,0.039,1.819,1.496,0.807,1.602,6.46E-02,3.30E-02,1.81E-02
0.9351459,3.5845,2.3824,1.3164,-0.027,1.902,1.538,0.834,1.67,5.82E-02,2.97E-02,1.63E-02
0.9351726,3.5798,2.4398,1.2402,-0.086,1.988,1.582,0.863,1.744,5.01E-02,2.56E-02,1.40E-02
0.935196,3.575,2.4961,1.1647,-0.136,2.078,1.628,0.894,1.822,4.49E-02,2.29E-02,1.26E-02
0.9352175,3.5702,2.5522,1.0894,-0.183,2.168,1.674,0.925,1.904,4.07E-02,2.08E-02,1.14E-02
0.9352367,3.5653,2.6071,1.0149,-0.219,2.262,1.722,0.958,1.993,3.67E-02,1.87E-02,1.03E-02
0.9352542,3.5602,2.6608,0.9409,-0.242,2.36,1.775,0.995,2.091,3.31E-02,1.69E-02,9.27E-03
0.9352698,3.555,2.7131,0.8678,-0.254,2.462,1.831,1.033,2.197,2.94E-02,1.50E-02,8.23E-03
0.9352836,3.5497,2.7648,0.7949,-0.257,2.568,1.889,1.074,2.309,2.67E-02,1.36E-02,7.48E-03
0.9352965,3.5443,2.8161,0.722,-0.253,2.68,1.95,1.117,2.427,2.43E-02,1.24E-02,6.80E-03
0.9353079,3.5389,2.8668,0.6497,-0.242,2.795,2.011,1.162,2.549,2.22E-02,1.13E-02,6.22E-03
0.9353187,3.5335,2.9174,0.5775,-0.226,2.913,2.074,1.209,2.677,2.07E-02,1.06E-02,5.80E-03
0.9353286,3.528,2.9668,0.5061,-0.198,3.035,2.138,1.258,2.813,1.84E-02,9.38E-03,5.15E-03
0.9353371,3.5224,3.0147,0.4358,-0.158,3.161,2.205,1.31,2.956,1.70E-02,8.67E-03,4.76E-03
0.9353456,3.5168,3.0626,0.3655,-0.115,3.288,2.273,1.362,3.104,1.61E-02,8.21E-03,4.51E-03
0.9353532,3.511,3.1087,0.2962,-0.057,3.42,2.345,1.418,3.26,1.42E-02,7.24E-03,3.98E-03
0.9353598,3.5051,3.1531,0.2282,0.012,3.554,2.419,1.475,3.423,1.31E-02,6.68E-03,3.67E-03
0.9353663,3.4992,3.1974,0.1603,0.086,3.69,2.494,1.534,3.592,1.31E-02,6.68E-03,3.67E-03
0.9353729,3.4932,3.2418,0.0919,0.169,3.83,2.572,1.594,3.768,1.30E-02,6.63E-03,3.64E-03
0.9353793,3.4873,3.2855,0.0246,0.255,3.969,2.65,1.655,3.947,1.29E-02,6.58E-03,3.61E-03
0.9353858,3.4813,3.3289,-0.0428,0.35,4.112,2.73,1.718,4.132,1.29E-02,6.58E-03,3.61E-03
0.9353922,3.4753,3.3723,-0.1102,0.455,4.26,2.814,1.784,4.327,6.40E-03,3.26E-03,1.79E-03
,,,,,,,,,,,
age(Gyr)=1,7.000 14,0 points,,,,,,,,,
0.4,3.4631,-1.9122,4.7566,12.876,1.596,1.862,1.49,3.419,1.91E+01,6.97E+01,1.53E+02
0.4190996,3.4805,-1.8215,4.7557,12.229,1.478,1.761,1.347,3.089,3.82E+01,1.28E+02,2.66E+02
0.4381695,3.4979,-1.7307,4.7539,11.677,1.406,1.689,1.246,2.834,3.81E+01,1.16E+02,2.22E+02
0.4572316,3.5153,-1.64,4.7513,11.138,1.343,1.619,1.153,2.59,3.79E+01,1.04E+02,1.86E+02
0.4760737,3.5328,-1.5498,4.7486,10.612,1.281,1.547,1.061,2.355,3.76E+01,9.38E+01,1.57E+02
0.4948311,3.5503,-1.4595,4.7451,10.102,1.251,1.484,0.988,2.136,4.03E+01,9.14E+01,1.43E+02
0.5163383,3.5669,-1.3621,4.7326,9.604,1.245,1.434,0.935,1.94,4.54E+01,9.33E+01,1.36E+02
0.5402195,3.5834,-1.2648,4.7209,9.138,1.243,1.381,0.885,1.768,4.86E+01,9.01E+01,1.22E+02
0.5649723,3.6,-1.1702,4.7122,8.704,1.239,1.322,0.839,1.617,5.01E+01,8.36E+01,1.06E+02
0.5903672,3.6167,-1.0777,4.7055,8.302,1.217,1.259,0.788,1.485,3.01E+01,4.62E+01,5.50E+01
0.5950328,3.6197,-1.0611,4.7044,8.232,1.21,1.247,0.779,1.462,9.29E+00,1.37E+01,1.59E+01
0.5996525,3.6227,-1.0446,4.7032,8.164,1.203,1.236,0.769,1.441,1.05E+01,1.52E+01,1.74E+01
0.6055466,3.6254,-1.0253,4.699,8.091,1.196,1.225,0.761,1.421,1.20E+01,1.69E+01,1.91E+01
0.6116092,3.628,-1.0054,4.6938,8.019,1.188,1.215,0.753,1.403,1.21E+01,1.67E+01,1.85E+01
0.6175963,3.6307,-0.9856,4.689,7.946,1.178,1.205,0.744,1.384,1.21E+01,1.63E+01,1.78E+01
0.6236835,3.6333,-0.9655,4.6836,7.875,1.168,1.195,0.735,1.366,1.21E+01,1.60E+01,1.72E+01
0.6297101,3.6359,-0.9454,4.6781,7.803,1.156,1.185,0.727,1.348,1.20E+01,1.55E+01,1.63E+01
0.6356648,3.6386,-0.9254,4.673,7.732,1.143,1.175,0.718,1.33,1.19E+01,1.50E+01,1.56E+01
0.6415945,3.6412,-0.9054,4.6674,7.662,1.128,1.165,0.709,1.313,1.19E+01,1.47E+01,1.50E+01
0.6475644,3.6438,-0.8851,4.6615,7.591,1.113,1.155,0.7,1.296,1.19E+01,1.44E+01,1.45E+01
0.653514,3.6464,-0.8648,4.6556,7.521,1.096,1.145,0.692,1.279,1.19E+01,1.41E+01,1.40E+01
0.6594836,3.6489,-0.8444,4.6491,7.452,1.08,1.135,0.683,1.263,1.19E+01,1.38E+01,1.35E+01
0.6654257,3.6515,-0.8238,4.6428,7.382,1.062,1.125,0.675,1.246,1.18E+01,1.34E+01,1.29E+01
0.671301,3.6541,-0.8034,4.6366,7.312,1.045,1.114,0.666,1.23,1.17E+01,1.30E+01,1.24E+01
0.6771446,3.6567,-0.7828,4.6302,7.243,1.027,1.104,0.657,1.214,1.18E+01,1.28E+01,1.20E+01
0.6830923,3.6592,-0.7618,4.623,7.173,1.009,1.094,0.649,1.198,1.17E+01,1.25E+01,1.15E+01
0.6888734,3.6618,-0.7412,4.6165,7.104,0.989,1.083,0.64,1.182,1.17E+01,1.23E+01,1.11E+01
0.6948035,3.6643,-0.7199,4.6089,7.033,0.968,1.073,0.632,1.167,1.18E+01,1.21E+01,1.08E+01
0.7006301,3.6668,-0.699,4.6016,6.965,0.947,1.063,0.624,1.152,1.20E+01,1.21E+01,1.07E+01
0.7068121,3.6693,-0.6779,4.5943,6.896,0.925,1.052,0.615,1.137,1.23E+01,1.21E+01,1.06E+01
0.7129441,3.6719,-0.6568,4.5874,6.826,0.901,1.041,0.607,1.122,1.22E+01,1.18E+01,1.01E+01
0.719046,3.6744,-0.6355,4.5798,6.757,0.878,1.031,0.598,1.107,1.22E+01,1.15E+01,9.76E+00
0.7251229,3.6769,-0.6142,4.5721,6.689,0.854,1.021,0.59,1.092,1.22E+01,1.13E+01,9.43E+00
0.7312125,3.6794,-0.5925,4.5641,6.619,0.83,1.01,0.582,1.078,1.22E+01,1.11E+01,9.15E+00
0.7373268,3.6818,-0.5706,4.5554,6.55,0.807,1,0.574,1.064,1.20E+01,1.07E+01,8.71E+00
0.7432237,3.6843,-0.5491,4.5473,6.482,0.783,0.989,0.566,1.05,1.19E+01,1.04E+01,8.33E+00
0.7491867,3.6867,-0.5272,4.5385,6.414,0.759,0.979,0.558,1.037,1.19E+01,1.03E+01,8.12E+00
0.7551573,3.6891,-0.5049,4.5293,6.345,0.736,0.968,0.55,1.023,1.19E+01,1.00E+01,7.84E+00
0.7610767,3.6915,-0.4825,4.5199,6.275,0.713,0.958,0.543,1.01,1.18E+01,9.76E+00,7.53E+00
0.7669446,3.6939,-0.4599,4.5102,6.206,0.691,0.947,0.535,0.997,1.18E+01,9.59E+00,7.31E+00
0.7728767,3.6962,-0.4369,4.4997,6.137,0.669,0.937,0.528,0.985,1.17E+01,9.30E+00,7.00E+00
0.7785985,3.6986,-0.4143,4.4899,6.068,0.648,0.926,0.52,0.972,1.15E+01,9.04E+00,6.72E+00
0.7844043,3.7009,-0.391,4.4791,5.998,0.627,0.915,0.513,0.96,1.16E+01,8.97E+00,6.59E+00
0.7902374,3.7031,-0.3672,4.4673,5.928,0.607,0.905,0.506,0.948,1.16E+01,8.78E+00,6.37E+00
0.7959943,3.7054,-0.3433,4.4557,5.856,0.586,0.894,0.499,0.936,1.16E+01,8.68E+00,6.22E+00
0.8018862,3.7076,-0.319,4.4434,5.785,0.566,0.884,0.492,0.925,1.20E+01,8.79E+00,6.22E+00
0.8080068,3.7098,-0.2947,4.4312,5.713,0.546,0.874,0.485,0.914,1.22E+01,8.76E+00,6.13E+00
0.8140703,3.712,-0.2702,4.4188,5.642,0.526,0.863,0.479,0.902,1.22E+01,8.61E+00,5.95E+00
0.8201988,3.7141,-0.2449,4.4051,5.569,0.507,0.853,0.472,0.891,1.23E+01,8.55E+00,5.83E+00
0.8263804,3.7161,-0.2189,4.3904,5.494,0.489,0.843,0.466,0.881,1.23E+01,8.40E+00,5.66E+00
0.8325077,3.7181,-0.1929,4.3756,5.42,0.471,0.834,0.46,0.871,1.25E+01,8.38E+00,5.57E+00
0.8388794,3.72,-0.1656,4.3592,5.343,0.454,0.824,0.454,0.861,1.28E+01,8.43E+00,5.54E+00
0.845316,3.7218,-0.1374,4.3415,5.264,0.438,0.815,0.448,0.852,1.29E+01,8.33E+00,5.41E+00
0.8517654,3.7234,-0.1076,4.3214,5.182,0.423,0.807,0.443,0.843,1.28E+01,8.11E+00,5.20E+00
0.8580756,3.7249,-0.0766,4.2996,5.097,0.409,0.799,0.437,0.835,1.27E+01,7.95E+00,5.03E+00
0.8644982,3.7261,-0.043,4.2741,5.007,0.398,0.792,0.433,0.828,1.33E+01,8.17E+00,5.11E+00
0.8714038,3.7269,-0.006,4.2437,4.908,0.389,0.786,0.429,0.822,1.43E+01,8.61E+00,5.32E+00
0.8788073,3.727,0.0353,4.2065,4.801,0.385,0.783,0.427,0.819,1.33E+01,7.86E+00,4.79E+00
0.8847107,3.7259,0.0701,4.1702,4.715,0.39,0.785,0.428,0.82,1.03E+01,6.00E+00,3.62E+00
0.88913,3.7239,0.097,4.1375,4.651,0.402,0.792,0.431,0.826,7.77E+00,4.47E+00,2.67E+00
0.8924823,3.7212,0.1176,4.1077,4.606,0.42,0.801,0.436,0.836,5.96E+00,3.40E+00,2.02E+00
0.8950915,3.7179,0.1335,4.0799,4.576,0.443,0.813,0.443,0.848,4.71E+00,2.66E+00,1.57E+00
0.897194,3.7142,0.1459,4.0537,4.557,0.469,0.827,0.451,0.862,3.75E+00,2.11E+00,1.24E+00
0.8988376,3.7101,0.1552,4.0288,4.547,0.498,0.843,0.461,0.878,3.00E+00,1.68E+00,9.85E-01
0.9001944,3.7059,0.1629,4.005,4.543,0.529,0.859,0.47,0.896,2.53E+00,1.41E+00,8.27E-01
0.9013714,3.7016,0.1704,3.9808,4.541,0.561,0.876,0.481,0.914,2.24E+00,1.24E+00,7.26E-01
0.9024294,3.6973,0.1789,3.9556,4.536,0.593,0.892,0.491,0.932,2.05E+00,1.14E+00,6.61E-01
0.9034184,3.693,0.1904,3.9274,4.524,0.625,0.908,0.501,0.951,1.96E+00,1.09E+00,6.32E-01
0.9043942,3.6889,0.2064,3.8955,4.501,0.657,0.923,0.511,0.968,1.96E+00,1.08E+00,6.27E-01
0.9053755,3.6852,0.2289,3.8587,4.46,0.685,0.936,0.52,0.983,1.94E+00,1.07E+00,6.19E-01
0.906336,3.6823,0.2586,3.8178,4.396,0.707,0.946,0.526,0.994,1.87E+00,1.02E+00,5.92E-01
0.9072409,3.68,0.293,3.7746,4.318,0.724,0.953,0.53,1.002,1.75E+00,9.59E-01,5.54E-01
0.9080865,3.6784,0.3312,3.7305,4.226,0.735,0.957,0.532,1.006,1.62E+00,8.87E-01,5.11E-01
0.9088629,3.6773,0.3716,3.686,4.127,0.742,0.959,0.532,1.008,1.49E+00,8.14E-01,4.69E-01
0.9095796,3.6765,0.4132,3.6416,4.022,0.746,0.96,0.532,1.008,1.38E+00,7.51E-01,4.32E-01
0.9102421,3.6758,0.4555,3.5968,3.916,0.749,0.96,0.531,1.007,1.28E+00,6.94E-01,3.99E-01
0.910857,3.6752,0.498,3.5522,3.808,0.751,0.961,0.53,1.006,1.18E+00,6.42E-01,3.69E-01
0.911426,3.6747,0.541,3.5074,3.699,0.753,0.961,0.529,1.005,1.09E+00,5.91E-01,3.39E-01
0.9119477,3.6741,0.5838,3.4625,3.591,0.755,0.962,0.528,1.004,1.01E+00,5.45E-01,3.12E-01
0.9124327,3.6736,0.6269,3.4176,3.482,0.757,0.962,0.526,1.003,9.32E-01,5.04E-01,2.88E-01
0.91288,3.6729,0.6697,3.3722,3.375,0.761,0.964,0.526,1.002,8.62E-01,4.66E-01,2.66E-01
0.9132951,3.6721,0.7124,3.3265,3.269,0.766,0.966,0.525,1.002,8.03E-01,4.33E-01,2.47E-01
0.9136827,3.6713,0.7552,3.2807,3.162,0.771,0.968,0.525,1.003,7.39E-01,3.98E-01,2.27E-01
0.9140341,3.6702,0.7976,3.2341,3.059,0.778,0.971,0.526,1.004,6.78E-01,3.65E-01,2.08E-01
0.914361,3.6692,0.8403,3.1875,2.955,0.785,0.975,0.526,1.006,6.32E-01,3.40E-01,1.94E-01
0.9146663,3.668,0.8826,3.1406,2.853,0.794,0.979,0.527,1.008,5.94E-01,3.19E-01,1.82E-01
0.9149545,3.6668,0.9251,3.0934,2.751,0.803,0.984,0.528,1.011,5.63E-01,3.02E-01,1.72E-01
0.9152288,3.6654,0.9668,3.0463,2.653,0.814,0.99,0.53,1.015,5.53E-01,2.97E-01,1.69E-01
0.9155073,3.664,1.0084,2.9992,2.556,0.825,0.996,0.532,1.019,5.09E-01,2.73E-01,1.55E-01
0.915738,3.6624,1.0497,2.9516,2.461,0.837,1.004,0.535,1.025,4.46E-01,2.39E-01,1.36E-01
0.9159535,3.6609,1.0909,2.9045,2.366,0.849,1.012,0.538,1.03,4.17E-01,2.23E-01,1.27E-01
0.9161547,3.6592,1.1316,2.8571,2.274,0.863,1.021,0.541,1.036,3.89E-01,2.08E-01,1.18E-01
0.9163425,3.6575,1.1723,2.8097,2.183,0.878,1.031,0.544,1.042,3.69E-01,1.97E-01,1.12E-01
0.9165235,3.6557,1.2128,2.7621,2.093,0.893,1.041,0.548,1.05,3.49E-01,1.87E-01,1.06E-01
0.9166914,3.6539,1.253,2.7147,2.005,0.909,1.052,0.552,1.057,3.28E-01,1.75E-01,9.96E-02
0.9168517,3.6521,1.2932,2.6674,1.917,0.925,1.063,0.556,1.066,3.33E-01,1.78E-01,1.01E-01
0.9170243,3.6503,1.3336,2.6199,1.828,0.942,1.074,0.561,1.074,4.77E-01,2.54E-01,1.44E-01
0.9173282,3.6505,1.3392,2.6152,1.813,0.94,1.073,0.56,1.072,5.82E-01,3.11E-01,1.76E-01
0.9176065,3.6492,1.3726,2.5768,1.739,0.952,1.081,0.563,1.078,4.16E-01,2.22E-01,1.26E-01
0.9177437,3.6473,1.4123,2.5295,1.654,0.972,1.094,0.569,1.088,2.42E-01,1.29E-01,7.31E-02
0.9178486,3.6452,1.4514,2.4821,1.573,0.994,1.107,0.575,1.099,2.01E-01,1.07E-01,6.07E-02
0.9179449,3.6431,1.4902,2.4349,1.493,1.018,1.12,0.582,1.111,1.83E-01,9.76E-02,5.53E-02
0.9180318,3.641,1.529,2.3878,1.413,1.042,1.134,0.588,1.123,1.71E-01,9.09E-02,5.15E-02
0.9181155,3.6389,1.5677,2.3407,1.335,1.067,1.147,0.595,1.135,1.59E-01,8.47E-02,4.80E-02
0.9181909,3.6367,1.6059,2.2938,1.259,1.094,1.161,0.602,1.149,1.46E-01,7.76E-02,4.39E-02
0.9182612,3.6344,1.6439,2.2466,1.184,1.123,1.176,0.61,1.163,1.36E-01,7.26E-02,4.11E-02
0.9183272,3.6321,1.6817,2.1996,1.111,1.152,1.191,0.618,1.178,1.26E-01,6.70E-02,3.79E-02
0.918387,3.6298,1.7195,2.1526,1.038,1.181,1.206,0.626,1.193,1.17E-01,6.23E-02,3.53E-02
0.9184443,3.6275,1.7573,2.1057,0.965,1.211,1.22,0.634,1.209,1.09E-01,5.81E-02,3.29E-02
0.9184961,3.6252,1.7946,2.0592,0.895,1.242,1.235,0.642,1.225,1.30E-01,6.93E-02,3.92E-02
0.9185745,3.6211,1.8562,1.9812,0.783,1.3,1.262,0.657,1.257,1.49E-01,7.92E-02,4.48E-02
0.918645,3.6172,1.9184,1.9035,0.67,1.357,1.288,0.673,1.289,1.31E-01,6.96E-02,3.94E-02
0.9187054,3.6131,1.9797,1.8258,0.565,1.421,1.316,0.69,1.326,1.15E-01,6.09E-02,3.45E-02
0.9187596,3.609,2.0408,1.7483,0.462,1.486,1.344,0.708,1.366,1.02E-01,5.42E-02,3.07E-02
0.9188074,3.6047,2.1006,1.6713,0.368,1.555,1.375,0.728,1.411,9.09E-02,4.83E-02,2.73E-02
0.9188505,3.6004,2.1607,1.5941,0.276,1.625,1.406,0.748,1.458,8.11E-02,4.31E-02,2.44E-02
0.9188885,3.5961,2.2201,1.5175,0.19,1.697,1.438,0.77,1.509,7.23E-02,3.84E-02,2.17E-02
0.9189228,3.5917,2.2792,1.4408,0.11,1.773,1.474,0.793,1.566,6.48E-02,3.44E-02,1.95E-02
0.9189533,3.5872,2.3373,1.3647,0.039,1.852,1.513,0.818,1.629,5.86E-02,3.11E-02,1.76E-02
0.9189814,3.5825,2.3947,1.2885,-0.022,1.937,1.556,0.846,1.701,5.26E-02,2.80E-02,1.58E-02
0.9190059,3.5779,2.4516,1.2132,-0.08,2.023,1.6,0.875,1.775,4.58E-02,2.43E-02,1.38E-02
0.9190272,3.5731,2.5074,1.1383,-0.128,2.113,1.645,0.906,1.854,4.11E-02,2.18E-02,1.23E-02
0.919047,3.5682,2.563,1.0631,-0.169,2.205,1.693,0.939,1.94,3.71E-02,1.97E-02,1.11E-02
0.9190643,3.5632,2.6169,0.9892,-0.198,2.301,1.743,0.973,2.033,3.32E-02,1.76E-02,9.97E-03
0.9190802,3.5581,2.67,0.9157,-0.217,2.399,1.797,1.01,2.133,3.02E-02,1.60E-02,9.07E-03
0.9190945,3.5529,2.7221,0.8428,-0.227,2.502,1.853,1.049,2.241,2.70E-02,1.43E-02,8.11E-03
0.9191072,3.5476,2.7735,0.7702,-0.228,2.61,1.912,1.09,2.354,2.44E-02,1.30E-02,7.33E-03
0.9191189,3.5423,2.8242,0.6983,-0.223,2.721,1.972,1.133,2.472,2.24E-02,1.19E-02,6.73E-03
0.9191296,3.5369,2.8744,0.6265,-0.209,2.837,2.034,1.179,2.596,2.03E-02,1.08E-02,6.10E-03
0.9191392,3.5315,2.924,0.5553,-0.188,2.956,2.097,1.226,2.726,1.92E-02,1.02E-02,5.76E-03
0.9191488,3.526,2.9735,0.4838,-0.159,3.079,2.162,1.276,2.863,1.73E-02,9.19E-03,5.19E-03
0.9191565,3.5204,3.0215,0.4134,-0.118,3.205,2.229,1.328,3.008,1.52E-02,8.07E-03,4.56E-03
0.919164,3.5148,3.0692,0.3433,-0.072,3.333,2.298,1.381,3.157,1.50E-02,7.97E-03,4.50E-03
0.9191715,3.5092,3.1169,0.2732,-0.023,3.462,2.368,1.435,3.309,1.39E-02,7.38E-03,4.17E-03
0.9191779,3.5033,3.1613,0.2052,0.048,3.597,2.442,1.493,3.474,1.18E-02,6.27E-03,3.54E-03
0.9191833,3.4972,3.2028,0.1393,0.137,3.736,2.52,1.553,3.65,1.08E-02,5.74E-03,3.24E-03
0.9191887,3.4912,3.2444,0.0737,0.228,3.874,2.598,1.614,3.827,1.08E-02,5.74E-03,3.24E-03
0.9191941,3.4851,3.2859,0.0078,0.327,4.017,2.678,1.677,4.012,1.08E-02,5.74E-03,3.24E-03
0.9191995,3.479,3.3274,-0.0581,0.431,4.161,2.759,1.742,4.202,1.14E-02,6.05E-03,3.42E-03
0.9192055,3.4733,3.3741,-0.1276,0.538,4.315,2.847,1.811,4.406,6.00E-03,3.19E-03,1.80E-03
,,,,,,,,,,,
age(Gyr)=1,8.000 14,0 points,,,,,,,,,
0.4,3.4634,-1.9096,4.7552,12.863,1.595,1.86,1.488,3.413,1.90E+01,6.94E+01,1.52E+02
0.4190012,3.4808,-1.8191,4.7544,12.218,1.478,1.76,1.345,3.085,3.80E+01,1.28E+02,2.65E+02
0.4380118,3.4981,-1.7285,4.7523,11.668,1.406,1.689,1.245,2.832,3.80E+01,1.15E+02,2.21E+02
0.456978,3.5155,-1.6379,4.7497,11.129,1.343,1.618,1.152,2.587,3.77E+01,1.04E+02,1.86E+02
0.4756885,3.533,-1.5478,4.747,10.603,1.281,1.546,1.06,2.352,3.73E+01,9.33E+01,1.56E+02
0.4943036,3.5504,-1.4579,4.7434,10.096,1.251,1.484,0.988,2.135,3.97E+01,9.04E+01,1.42E+02
0.5154075,3.5669,-1.3606,4.7303,9.6,1.246,1.435,0.935,1.94,4.46E+01,9.21E+01,1.35E+02
0.5389165,3.5833,-1.2633,4.7179,9.135,1.243,1.381,0.886,1.769,4.80E+01,8.94E+01,1.22E+02
0.563429,3.5998,-1.1691,4.7091,8.703,1.239,1.323,0.839,1.619,4.99E+01,8.37E+01,1.06E+02
0.588785,3.6164,-1.0765,4.702,8.301,1.218,1.26,0.789,1.487,3.00E+01,4.63E+01,5.54E+01
0.5934106,3.6194,-1.06,4.7009,8.232,1.211,1.249,0.78,1.464,9.25E+00,1.37E+01,1.60E+01
0.5980387,3.6225,-1.0436,4.7003,8.163,1.204,1.237,0.77,1.442,1.00E+01,1.46E+01,1.68E+01
0.6034597,3.6252,-1.0253,4.6967,8.093,1.196,1.226,0.761,1.422,1.14E+01,1.62E+01,1.84E+01
0.6094049,3.6279,-1.0055,4.6919,8.02,1.188,1.216,0.753,1.403,1.19E+01,1.66E+01,1.85E+01
0.6153456,3.6305,-0.9857,4.6867,7.948,1.179,1.206,0.744,1.385,1.20E+01,1.63E+01,1.79E+01
0.62138,3.6331,-0.9655,4.6812,7.876,1.169,1.196,0.736,1.367,1.19E+01,1.59E+01,1.72E+01
0.6272932,3.6357,-0.9455,4.6757,7.805,1.157,1.186,0.727,1.349,1.18E+01,1.54E+01,1.64E+01
0.6332051,3.6383,-0.9255,4.6702,7.734,1.144,1.176,0.719,1.332,1.18E+01,1.50E+01,1.57E+01
0.639092,3.6409,-0.9054,4.6645,7.664,1.13,1.166,0.71,1.314,1.17E+01,1.47E+01,1.51E+01
0.6449527,3.6435,-0.8853,4.6588,7.594,1.114,1.156,0.701,1.297,1.18E+01,1.44E+01,1.46E+01
0.6508736,3.6461,-0.8649,4.6527,7.523,1.098,1.146,0.693,1.28,1.19E+01,1.42E+01,1.42E+01
0.6568145,3.6487,-0.8442,4.6464,7.453,1.081,1.136,0.684,1.264,1.19E+01,1.39E+01,1.36E+01
0.6627255,3.6512,-0.8235,4.6396,7.383,1.064,1.126,0.676,1.248,1.17E+01,1.34E+01,1.30E+01
0.6685117,3.6538,-0.8031,4.6333,7.313,1.047,1.115,0.667,1.231,1.17E+01,1.31E+01,1.25E+01
0.6743775,3.6563,-0.7822,4.6262,7.243,1.029,1.105,0.659,1.216,1.16E+01,1.28E+01,1.20E+01
0.6801232,3.6589,-0.7616,4.6197,7.174,1.01,1.095,0.65,1.2,1.16E+01,1.25E+01,1.16E+01
0.6859662,3.6614,-0.7404,4.6122,7.104,0.991,1.084,0.642,1.184,1.16E+01,1.23E+01,1.13E+01
0.6917502,3.6639,-0.7193,4.6048,7.034,0.971,1.074,0.633,1.169,1.15E+01,1.19E+01,1.08E+01
0.6974585,3.6664,-0.6983,4.5973,6.965,0.949,1.064,0.625,1.154,1.16E+01,1.18E+01,1.05E+01
0.7033145,3.669,-0.6773,4.5904,6.896,0.927,1.053,0.616,1.138,1.19E+01,1.19E+01,1.04E+01
0.7093582,3.6714,-0.6561,4.5825,6.827,0.905,1.043,0.608,1.124,1.21E+01,1.18E+01,1.02E+01
0.7153816,3.6739,-0.6347,4.5748,6.758,0.882,1.033,0.6,1.109,1.19E+01,1.14E+01,9.74E+00
0.7212565,3.6764,-0.6137,4.5673,6.69,0.858,1.022,0.591,1.095,1.19E+01,1.12E+01,9.41E+00
0.7272615,3.6788,-0.5919,4.5587,6.621,0.835,1.012,0.583,1.081,1.18E+01,1.09E+01,9.07E+00
0.7330979,3.6813,-0.5704,4.5507,6.552,0.811,1.001,0.575,1.067,1.18E+01,1.07E+01,8.75E+00
0.7390635,3.6837,-0.5482,4.5416,6.483,0.787,0.991,0.567,1.053,1.19E+01,1.05E+01,8.53E+00
0.7449729,3.6861,-0.526,4.5325,6.413,0.764,0.981,0.559,1.04,1.17E+01,1.02E+01,8.15E+00
0.7507824,3.6885,-0.5038,4.5232,6.344,0.741,0.97,0.552,1.026,1.16E+01,9.93E+00,7.84E+00
0.7565966,3.6909,-0.4813,4.5137,6.275,0.718,0.96,0.544,1.013,1.17E+01,9.81E+00,7.65E+00
0.762475,3.6932,-0.4582,4.5031,6.205,0.696,0.949,0.537,1,1.16E+01,9.57E+00,7.37E+00
0.7682105,3.6955,-0.4353,4.4927,6.135,0.674,0.939,0.529,0.988,1.15E+01,9.30E+00,7.07E+00
0.773959,3.6978,-0.412,4.4818,6.065,0.653,0.929,0.522,0.976,1.15E+01,9.12E+00,6.85E+00
0.7796746,3.7001,-0.3884,4.4706,5.995,0.633,0.918,0.515,0.963,1.14E+01,8.90E+00,6.60E+00
0.7853381,3.7024,-0.3646,4.4592,5.924,0.612,0.907,0.508,0.951,1.13E+01,8.69E+00,6.36E+00
0.7909705,3.7046,-0.3405,4.447,5.852,0.592,0.897,0.501,0.94,1.13E+01,8.55E+00,6.19E+00
0.7966516,3.7067,-0.3157,4.4337,5.78,0.572,0.887,0.494,0.928,1.14E+01,8.47E+00,6.06E+00
0.8023646,3.7089,-0.2909,4.4208,5.707,0.552,0.877,0.487,0.917,1.17E+01,8.56E+00,6.05E+00
0.8083633,3.711,-0.2658,4.4073,5.634,0.533,0.867,0.481,0.906,1.20E+01,8.60E+00,6.01E+00
0.8143351,3.713,-0.2403,4.393,5.56,0.515,0.857,0.474,0.896,1.20E+01,8.45E+00,5.83E+00
